check_id,subject,condition,scaffold_source,scaffold_value,recomputed_value,n_questions,drift,within_tolerance
hamerton_C5,hamerton,C5_baseline,_v11_emit/4_1_gradient.json,1.26,1.26,39,0.0,True
hamerton_C2a,hamerton,C2a_full_spec,_v11_emit/4_1_gradient.json,2.63,2.63,39,0.0,True
hamerton_C2c,hamerton,C2c_wrong_spec,_v11_emit/4_1_gradient.json,1.45,1.45,39,0.0,True
hamerton_C4,hamerton,C4_factdump,_v11_emit/4_1_gradient.json,2.43,2.43,39,0.0,True
hamerton_C4a,hamerton,C4a_full_facts_plus_spec,_v11_emit/4_1_gradient.json,2.77,2.77,39,0.0,True
sunity_devee_C5,sunity_devee,C5_baseline,_v11_emit/4_1_gradient.json,1.03,1.03,39,0.0,True
sunity_devee_C2a,sunity_devee,C2a_full_spec,_v11_emit/4_1_gradient.json,2.27,2.27,39,0.0,True
sunity_devee_C2c,sunity_devee,C2c_wrong_spec,_v11_emit/4_1_gradient.json,1.29,1.29,39,0.0,True
sunity_devee_C4,sunity_devee,C4_factdump,_v11_emit/4_1_gradient.json,2.46,2.46,39,0.0,True
sunity_devee_C4a,sunity_devee,C4a_full_facts_plus_spec,_v11_emit/4_1_gradient.json,2.41,2.41,39,0.0,True
ebers_C5,ebers,C5_baseline,_v11_emit/4_1_gradient.json,1.02,1.02,39,0.0,True
ebers_C2a,ebers,C2a_full_spec,_v11_emit/4_1_gradient.json,1.54,1.54,39,0.0,True
ebers_C2c,ebers,C2c_wrong_spec,_v11_emit/4_1_gradient.json,1.32,1.32,39,0.0,True
ebers_C4,ebers,C4_factdump,_v11_emit/4_1_gradient.json,2.02,2.02,39,0.0,True
ebers_C4a,ebers,C4a_full_facts_plus_spec,_v11_emit/4_1_gradient.json,2.07,2.07,39,0.0,True
fukuzawa_C5,fukuzawa,C5_baseline,_v11_emit/4_1_gradient.json,1.67,1.67,39,0.0,True
fukuzawa_C2a,fukuzawa,C2a_full_spec,_v11_emit/4_1_gradient.json,2.35,2.35,39,0.0,True
fukuzawa_C2c,fukuzawa,C2c_wrong_spec,_v11_emit/4_1_gradient.json,1.93,1.93,39,0.0,True
fukuzawa_C4,fukuzawa,C4_factdump,_v11_emit/4_1_gradient.json,2.67,2.67,39,0.0,True
fukuzawa_C4a,fukuzawa,C4a_full_facts_plus_spec,_v11_emit/4_1_gradient.json,2.78,2.78,39,0.0,True
keckley_C5,keckley,C5_baseline,_v11_emit/4_1_gradient.json,1.84,1.84,39,0.0,True
keckley_C2a,keckley,C2a_full_spec,_v11_emit/4_1_gradient.json,2.43,2.43,39,0.0,True
keckley_C2c,keckley,C2c_wrong_spec,_v11_emit/4_1_gradient.json,1.35,1.35,39,0.0,True
keckley_C4,keckley,C4_factdump,_v11_emit/4_1_gradient.json,2.39,2.39,39,0.0,True
keckley_C4a,keckley,C4a_full_facts_plus_spec,_v11_emit/4_1_gradient.json,2.44,2.44,39,0.0,True
augustine_C5,augustine,C5_baseline,_v11_emit/4_1_gradient.json,2.58,2.58,39,0.0,True
augustine_C2a,augustine,C2a_full_spec,_v11_emit/4_1_gradient.json,2.48,2.48,39,0.0,True
augustine_C2c,augustine,C2c_wrong_spec,_v11_emit/4_1_gradient.json,2.11,2.11,39,0.0,True
augustine_C4,augustine,C4_factdump,_v11_emit/4_1_gradient.json,2.56,2.56,39,0.0,True
augustine_C4a,augustine,C4a_full_facts_plus_spec,_v11_emit/4_1_gradient.json,2.7,2.7,39,0.0,True
