subject,C5,C2a,C2c,C4,C4a,C5_7j,C2a_7j,C2c_7j,C4_7j,C4a_7j
hamerton,1.2564102564102564,2.6307692307692307,1.4512820512820512,2.4256410256410255,2.769230769230769,1.2464846980976014,2.7362637362637363,1.5604395604395604,2.554334554334554,2.89010989010989
sunity_devee,1.0256410256410255,2.2666666666666666,1.2923076923076924,2.4615384615384617,2.41025641025641,1.034188034188034,2.47008547008547,1.3632478632478633,2.641025641025641,2.605038236617184
ebers,1.0205128205128204,1.5384615384615385,1.317948717948718,2.0205128205128204,2.071794871794872,1.0384615384615385,1.794871794871795,1.5042735042735043,2.2094017094017095,2.3376068376068377
fukuzawa,1.6717948717948719,2.353846153846154,1.9333333333333333,2.6717948717948716,2.7794871794871794,1.8034188034188035,2.5555555555555554,2.106837606837607,2.8846153846153846,2.9871794871794872
seacole,1.7743589743589743,2.482051282051282,1.4307692307692308,2.6256410256410256,2.594871794871795,1.8514394961763383,2.641025641025641,1.5042735042735043,2.7735042735042734,2.782051282051282
bernal_diaz,1.6974358974358974,2.2666666666666666,1.7897435897435898,2.41025641025641,2.482051282051282,1.8278388278388278,2.5283882783882783,2.130298273155416,2.7091575091575093,2.7816849816849816
keckley,1.8410256410256411,2.4256410256410255,1.353846153846154,2.3897435897435897,2.435897435897436,1.9145299145299146,2.641025641025641,1.5,2.5683760683760686,2.6196581196581197
yung_wing,1.876923076923077,2.2153846153846155,2.2,2.128205128205128,2.4,1.9572649572649574,2.3974358974358974,2.3290598290598292,2.2564102564102564,2.52991452991453
babur,1.758974358974359,1.9076923076923078,1.1692307692307693,2.0307692307692307,2.01025641025641,2.032234432234432,2.2776556776556776,1.2328623757195185,2.36790293040293,2.3853479853479853
cellini,2.3794871794871795,2.5435897435897434,1.8153846153846154,2.4205128205128204,2.528205128205128,2.5598290598290596,2.7222222222222223,1.9444444444444444,2.611111111111111,2.794871794871795
zitkala_sa,2.3384615384615386,2.0307692307692307,1.6615384615384616,2.1025641025641026,2.0205128205128204,2.5982905982905984,2.1923076923076925,1.7564102564102564,2.299145299145299,2.264957264957265
rousseau,2.435897435897436,2.8102564102564105,1.9128205128205127,2.3230769230769233,2.533333333333333,2.6495726495726495,3.017094017094017,2.141025641025641,2.5128205128205128,2.735042735042735
augustine,2.5846153846153848,2.476923076923077,2.112820512820513,2.558974358974359,2.6974358974358976,2.8025641025641024,2.974097331240188,2.542124542124542,3.0915750915750917,3.2216117216117217
equiano,2.769230769230769,2.4564102564102566,1.9743589743589745,2.4307692307692306,2.4205128205128204,2.931623931623932,2.6965811965811968,2.175213675213675,2.6324786324786325,2.6538461538461537
